№,name,price,description,image URL
1,BMW X7,"2021 г., 3 л., автомат,внедорожник 5 дв., бензин,руль слева, 19 000 км",$ 128 000,https://im.mashina.kg/tachka/images//b/0/4/b04f8d9aa50466b55400c6d0fe09ed18_240x180.jpg
2,Toyota Land Cruiser,"2015 г., 4.5 л., автомат,внедорожник 5 дв., дизель,руль слева, 120 000 км",$ 54 500,https://im.mashina.kg/tachka/images//a/e/4/ae4d1a6ccdbe7d60d4446e4c7dcf79d5_240x180.jpg
3,BMW X5,"2017 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 150 000 км",$ 49 500,https://im.mashina.kg/tachka/images//a/3/6/a36fb2df832fc46d06c6913b3f27e1a5_240x180.jpg
4,Toyota 4Runner,"2017 г., 4 л., автомат,внедорожник 5 дв., бензин,руль слева, 120 000 км",$ 37 500,https://im.mashina.kg/tachka/images//6/f/3/6f3d18909acce96e97b39456bd181437_240x180.jpg
5,Lexus LX,"2012 г., 5.7 л., автомат,внедорожник 5 дв., бензин,руль слева, 200 000 км",$ 46 000,https://im.mashina.kg/tachka/images//b/d/c/bdc05b775f6d6a384e8e637e655a73f7_240x180.jpg
6,Toyota Land Cruiser,"2012 г., 4.6 л., автомат,внедорожник 5 дв., бензин,руль слева, 139 000 км",$ 49 000,https://im.mashina.kg/tachka/images//6/b/6/6b6b415223149c7ceff9be1187a71575_240x180.jpg
7,Weltmeister EX5,"2021 г., автомат,внедорожник 5 дв., электро,руль слева, 100 км",$ 18 500,https://im.mashina.kg/tachka/images//6/4/0/640c2f7367676b336c5a394c5d02feaf_240x180.jpg
8,Kia K5 III Седан,"2020 г., 1.6 л., автомат,седан, бензин,руль слева, 23 333 км",$ 24 200,https://im.mashina.kg/tachka/images//8/0/b/80bf253b6e828ac4c01cbc0fe2889779_240x180.jpg
9,Mercedes-Benz Maybach S-класс,"2016 г., 4.7 л., автомат,седан, бензин,руль слева, 366 000 км",$ 80 000,https://im.mashina.kg/tachka/images//4/d/1/4d13d8a6fcb7e859a915bae4df527274_240x180.jpg
10,Land Rover Range Rover,"2010 г., 5 л., автомат,внедорожник 5 дв., бензин,руль слева, 166 000 км",$ 21 900,https://im.mashina.kg/tachka/images//b/1/7/b1728636c8a010133de6c1c31198d1b8_240x180.jpg
11,Kia K5 II Седан,"2018 г., 2 л., автомат,седан, газ,руль слева, 120 000 км",$ 14 900,https://im.mashina.kg/tachka/images//4/6/a/46ab51b0ed25193b5ac32e1fda8ca758_240x180.jpg
12,Kia Carnival,"2020 г., 2.2 л., автомат,минивэн, дизель,руль слева, 9 600 км",$ 44 900,https://im.mashina.kg/tachka/images//c/a/0/ca0b8f6a1858080738a8a473123a613c_240x180.jpg
13,Toyota Avalon,"2020 г., 2.5 л., вариатор,седан, гибрид,руль слева, 30 000 км",$ 36 500,https://im.mashina.kg/tachka/images//c/0/5/c05f2c2cafdc5b6df749acdddc8e8e2d_240x180.jpg
14,Nissan Pathfinder,"2005 г., 4 л., автомат,внедорожник 5 дв., бензин,руль слева, 138 000 км",$ 11 500,https://im.mashina.kg/tachka/images//0/0/f/00f7864c4c2162711edc92b95ef81186_240x180.jpg
15,Lexus ES,"2017 г., 2.5 л., вариатор,седан, гибрид,руль слева, 9 000 км",$ 31 000,https://im.mashina.kg/tachka/images//6/5/e/65eed85a533772bbd5ce6667514ae3e3_240x180.jpg
16,Toyota Camry,"2017 г., 2.5 л., автомат,седан, бензин,руль слева, 118 000 км",$ 21 500,https://im.mashina.kg/tachka/images//6/e/e/6ee197885d959a00e87b25e62f9069d0_240x180.jpg
17,Lexus GX,"2005 г., 4.7 л., автомат,внедорожник 5 дв., бензин,руль слева, 198 000 км",$ 20 500,https://im.mashina.kg/tachka/images//6/b/4/6b461dbdcb3cf1e75e5bb23133e9c9fb_240x180.jpg
18,Toyota Camry,"2018 г., 2.5 л., автомат,седан, бензин,руль слева, 8 000 км",$ 19 600,https://im.mashina.kg/tachka/images//4/9/5/49547f837c3d92053751363c81ddec87_240x180.jpg
19,BMW X5,"2003 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 260 000 км",$ 9 900,https://im.mashina.kg/tachka/images//e/f/4/ef43baae74a4e6b7e69c2a11a81ea097_240x180.jpg
20,Lexus ES,"2008 г., 3.5 л., автомат,седан, бензин,руль слева, 250 000 км",$ 11 900,https://im.mashina.kg/tachka/images//1/3/5/135b94fb081fb0189dd2366649bba914_240x180.jpg
21,Kia K5 II Седан,"2016 г., 2 л., автомат,седан, газ,руль слева, 152 174 км",$ 13 800,https://im.mashina.kg/tachka/images//f/8/3/f8309cf0c7f7f41935147356f126e6eb_240x180.jpg
22,Toyota Land Cruiser,"2014 г., 4.6 л., автомат,внедорожник 5 дв., бензин,руль слева, 85 000 км",$ 45 000,https://im.mashina.kg/tachka/images//f/7/e/f7e094ac7d173ca13a56689217dd8720_240x180.jpg
23,Kia Carnival,"2017 г., 2.2 л., автомат,минивэн, дизель,руль слева, 150 000 км",$ 25 000,https://im.mashina.kg/tachka/images//b/e/5/be5e9495db923b6e7fdf318b18c8e716_240x180.jpg
24,Lexus LX,"2013 г., 5.7 л., автомат,внедорожник 5 дв., бензин,руль слева, 166 666 км",$ 57 300,https://im.mashina.kg/tachka/images//5/8/b/58be4461e6cc9e83eab77c3615ba0de9_240x180.jpg
25,Kia Carnival,"2017 г., 2.2 л., автомат,минивэн, дизель,руль слева, 136 000 км",$ 25 500,https://im.mashina.kg/tachka/images//e/d/2/ed2079903b9635b5c1f9bf74f6fca855_240x180.jpg
26,Honda Fit,"2003 г., 1.3 л., вариатор,хэтчбек 5 дв., бензин,руль справа, 288 000 км",$ 6 598,https://im.mashina.kg/tachka/images//f/d/e/fdee5e5247b794a513491d9ef25f9884_240x180.jpg
27,Toyota Camry,"2016 г., 2.5 л., автомат,седан, бензин,руль слева, 109 000 км",$ 15 900,https://im.mashina.kg/tachka/images//c/d/c/cdc43dea57349a96a0a64d80674ca9d9_240x180.jpg
28,Hyundai Santa Fe,"2016 г., 2 л., автомат,внедорожник 5 дв., дизель,руль слева, 139 000 км",$ 18 500,https://im.mashina.kg/tachka/images//1/2/0/120b54149976c1b5ffa1bd06d2e8179e_240x180.jpg
29,Subaru Forester,"2019 г., 2.5 л., вариатор,внедорожник 5 дв., бензин,руль слева, 150 000 км",$ 23 000,https://im.mashina.kg/tachka/images//7/6/6/7664e7e9859de5ee2fbd97b4364d70c2_240x180.jpg
30,Toyota RAV4,"2018 г., 2.5 л., автомат,внедорожник 5 дв., бензин,руль слева, 117 555 км",$ 21 999,https://im.mashina.kg/tachka/images//5/5/d/55dfd70498cf8db84b4ffdb0c75a08a3_240x180.jpg
31,Subaru Forester,"2016 г., 2.5 л., вариатор,внедорожник 5 дв., бензин,руль слева, 145 000 км",$ 16 700,https://im.mashina.kg/tachka/images//7/f/a/7fa080e8e206a05edd85d7068d32fa83_240x180.jpg
32,Toyota RAV4,"2018 г., 2.5 л., автомат,внедорожник 5 дв., бензин,руль слева, 127 000 км",$ 22 000,https://im.mashina.kg/tachka/images//0/4/1/041d9675094d1e1633b84bbbe442388c_240x180.jpg
33,Hyundai Palisade,"2020 г., 2.2 л., автомат,внедорожник 5 дв., дизель,руль слева, 64 500 км",$ 48 500,No image!
34,Hyundai Sonata,"2016 г., 2 л., автомат,седан, газ,руль слева, 186 000 км",$ 11 999,https://im.mashina.kg/tachka/images//2/b/7/2b7f5bd3990d88b1a08afe5f2d4d1a12_240x180.jpg
35,BMW X5,"2022 г., 3 л., автомат,внедорожник 5 дв., гибрид,руль слева, 35 км",$ 132 000,https://im.mashina.kg/tachka/images//b/4/d/b4d811714b1c7a3c6aa44ee2942b02b7_240x180.jpg
36,Mercedes-Benz S-класс,"2004 г., 3.7 л., автомат,седан, бензин,руль слева, 220 000 км",$ 10 000,https://im.mashina.kg/tachka/images//7/b/6/7b62f8a684f6aa24b8945599fd382095_240x180.jpg
37,Hyundai Palisade,"2020 г., 3.8 л., автомат,внедорожник 5 дв., бензин,руль слева, 30 000 км",$ 43 000,https://im.mashina.kg/tachka/images//1/b/a/1bacda34a3bb5bfb379cb6c92d7c922b_240x180.jpg
38,Genesis GV80,"2021 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 72 600 км",$ 77 000,https://im.mashina.kg/tachka/images//2/f/b/2fbbaea8d9ed19345d82d38407be3c15_240x180.jpg
39,Kia Sportage,"2020 г., 2.4 л., автомат,внедорожник 5 дв., бензин,руль слева, 17 000 км",$ 31 500,https://im.mashina.kg/tachka/images//e/c/5/ec5584b16e98c1388e9f2a25a935225c_240x180.jpg
40,Toyota Camry,"2022 г., 2.5 л., автомат,седан, бензин,руль слева, 800 км",$ 38 500,https://im.mashina.kg/tachka/images//8/4/2/8428e0939c89939bc933bce322ed9d37_240x180.jpg
41,BMW X5,"2017 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 100 000 км",$ 45 000,https://im.mashina.kg/tachka/images//9/3/6/9364b76f39693cb08f956a21cbcdf51f_240x180.jpg
42,Lexus GX,"2005 г., 4.7 л., автомат,внедорожник 5 дв., бензин,руль слева",$ 22 500,https://im.mashina.kg/tachka/images//4/f/9/4f9972ca26e674140b40a5f860f4c85b_240x180.jpg
43,BMW 7 серии,"2015 г., 3 л., автомат,седан, дизель,руль слева, 40 000 км",$ 50 000,https://im.mashina.kg/tachka/images//f/c/3/fc313098eeec55cc88bcde7edcd7a921_240x180.jpg
44,Lexus RX,"2006 г., 3.5 л., автомат,внедорожник 5 дв., бензин,руль слева, 290 000 км",$ 14 800,https://im.mashina.kg/tachka/images//7/7/0/770012b96b908b56e071139f14b12335_240x180.jpg
45,Honda CR-V,"2003 г., 2 л., автомат,внедорожник 5 дв., бензин,руль слева, 139 852 км",$ 9 300,https://im.mashina.kg/tachka/images//1/d/2/1d21cba3c8d618104b04d47b400c0ca4_240x180.jpg
46,Toyota Camry,"2008 г., 3.5 л., автомат,седан, бензин,руль слева, 238 800 км",$ 10 500,https://im.mashina.kg/tachka/images//2/a/2/2a2d112ffb715e6062fc0563fcffc156_240x180.jpg
47,Toyota Highlander,"2011 г., 3.5 л., автомат,внедорожник 5 дв., бензин,руль слева, 204 000 км",$ 24 500,https://im.mashina.kg/tachka/images//3/b/a/3ba961c848aa4b9bae4ed4386ef6c1fd_240x180.jpg
48,Toyota Camry,"2018 г., 2.5 л., автомат,седан, бензин,руль слева, 64 000 км",$ 32 000,https://im.mashina.kg/tachka/images//3/f/9/3f9ab22967dc70c610991f98faa02a5f_240x180.jpg
49,Kia Mohave (Borrego),"2020 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 22 000 км",$ 57 000,https://im.mashina.kg/tachka/images//5/8/e/58e924d64ea732aa431b0974f4ad54f7_240x180.jpg
50,Mercedes-Benz E-класс,"1996 г., 4.2 л., автомат,седан, бензин,руль слева, 323 000 км",$ 4 200,https://im.mashina.kg/tachka/images//6/2/a/62abfe1d7c77d13c500519723ae64592_240x180.jpg
51,Mercedes-Benz E-класс,"2003 г., 2.6 л., автомат,седан, бензин,руль слева, 187 000 км",$ 11 300,https://im.mashina.kg/tachka/images//2/2/5/2252e557efec7293c274ae92e3184db5_240x180.jpg
52,Kia Sorento,"2016 г., 2.2 л., автомат,внедорожник 5 дв., дизель,руль слева, 177 915 км",$ 25 000,https://im.mashina.kg/tachka/images//3/4/6/346fe68ff2b390ab51cdd1953b425228_240x180.jpg
